Domain,Area,Element,Item,Year,Unit,Value
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.087031"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.091006"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.08763"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.099165"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.070705"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.077352"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.090558"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.071598"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.271348"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.330604"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.296625"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.482183"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.456609"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.574138"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.553089"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.646561"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.607937"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.622536"
"Credit to Agriculture","Angola","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.60764"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","0.328655"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","0.386754"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.321372"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.342364"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.220089"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.116937"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.108611"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.135129"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.077789"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.049605"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.059893"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.04922"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.075237"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.088804"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.08664"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.071892"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.034454"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.043252"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.053146"
"Credit to Agriculture","Anguilla","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.024386"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","0.384769"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","0.342373"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.298467"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.216797"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.272001"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.189686"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.170004"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.166035"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.15107"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.149668"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.114015"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.103761"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.102111"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.089699"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.032736"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.031542"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.030992"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.012025"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.008356"
"Credit to Agriculture","Antigua and Barbuda","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.021173"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1992","index","2.021898"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1993","index","2.432294"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1994","index","1.94166"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1995","index","1.785757"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1996","index","1.511501"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1997","index","1.602861"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1998","index","1.640022"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1999","index","1.666887"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","1.926413"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","1.784372"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.552721"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.595562"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.782324"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","1.07785"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","1.306762"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","1.337822"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","1.396887"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","1.957345"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","1.431524"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","1.52893"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","1.73694"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","1.632248"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","1.383496"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","1.729312"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","1.406299"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","1.760318"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","1.709182"
"Credit to Agriculture","Argentina","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","1.529369"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","0.743104"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","0.664749"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.592735"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.622087"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.310051"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.352819"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.355046"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.317559"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.386387"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.399009"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.370673"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.32152"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.338374"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.332454"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.351235"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.413565"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.406929"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.369471"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.351119"
"Credit to Agriculture","Armenia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.388528"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1998","index","22.495662"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1999","index","24.812787"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","21.555251"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","21.292625"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","17.673027"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","14.500762"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.860963"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.783904"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.248954"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","20.080397"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","14.408512"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","11.723776"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","10.895489"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","9.03923"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.368083"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","2.02409"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","1.48855"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","1.22283"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","1.056269"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","1.051833"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","1.321113"
"Credit to Agriculture","Aruba","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","3.588107"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1993","index","2.625723"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1994","index","2.981473"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1995","index","2.843656"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1996","index","2.816733"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1997","index","2.765977"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1998","index","2.671918"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","1999","index","2.747673"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","2.511352"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","2.263438"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","3.199001"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","3.232433"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","3.493468"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","3.541839"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","4.188622"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","3.551408"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","3.481413"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","3.903993"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","4.006934"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","3.821301"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","3.770798"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","3.676653"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","3.339449"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","3.018633"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","2.645712"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","2.905098"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","3.390884"
"Credit to Agriculture","Australia","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","4.401592"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.222515"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.240568"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.23528"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.243271"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.232626"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.269508"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.297799"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.290749"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.303495"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.306343"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.35327"
"Credit to Agriculture","Austria","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.356276"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.740426"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.814731"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.644037"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.652739"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.767047"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.86858"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.933356"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.867951"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.88602"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.85902"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.378494"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.478769"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.65099"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.692533"
"Credit to Agriculture","Azerbaijan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.621325"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2000","index","0.507762"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2001","index","0.71401"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.635797"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.666697"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.975996"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","1.062364"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.797467"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.523032"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.557991"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.272053"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.313675"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.46946"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.608955"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.527795"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.515407"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.258279"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.227991"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.320352"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.08354"
"Credit to Agriculture","Bahrain","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.226435"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2002","index","0.573308"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2003","index","0.525457"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2004","index","0.512509"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2005","index","0.494274"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2006","index","0.487239"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.41764"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.382867"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.384538"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.355727"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.364026"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.334593"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.348998"
"Credit to Agriculture","Bangladesh","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.359984"
