Domain,Area,Indicator,Sex,Year,Source,Unit,Value
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","1753.323"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","1758.544"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","1694.958"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","1703.733"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","1718.611"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","1708.152"
"Employment Indicators: Rural","Bangladesh","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","36132.231"
"Employment Indicators: Rural","Bangladesh","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","41662.867"
"Employment Indicators: Rural","Bangladesh","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","41918.002"
"Employment Indicators: Rural","Bangladesh","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","43885.068"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1992","Labour force survey","1000 persons","159.577"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1993","Labour force survey","1000 persons","189.185"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1994","Labour force survey","1000 persons","190.455"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1995","Labour force survey","1000 persons","205.388"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1996","Labour force survey","1000 persons","163.289"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1997","Labour force survey","1000 persons","213.336"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1998","Labour force survey","1000 persons","182.545"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","1999","Labour force survey","1000 persons","203.256"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2000","Labour force survey","1000 persons","159.517"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2001","Labour force survey","1000 persons","194.542"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2002","Labour force survey","1000 persons","182.523"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2003","Labour force survey","1000 persons","209.472"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2004","Labour force survey","1000 persons","234.114"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2005","Labour force survey","1000 persons","206.38"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","188.891"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2007","Labour force survey","1000 persons","209.686"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","222.581"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2009","Labour force survey","1000 persons","222.112"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","216.625"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","241.462"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","785.466"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","779.269"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","772.281"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","739.345"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","776.106"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","714.285"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","705.035"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","675.691"
"Employment Indicators: Rural","Belgium","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","699.178"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","66.208"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","68.193"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","71.491"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","76.024"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","76.129"
"Employment Indicators: Rural","Belize","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","87.111"
"Employment Indicators: Rural","Benin","Employment by status of employment, total, rural areas","Total","2011","Household income and expenditure survey","1000 persons","1732.366"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","1999","Household survey","1000 persons","1392.481"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2000","Household survey","1000 persons","1370.938"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2001","Household survey","1000 persons","1479.587"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2002","Household survey","1000 persons","1487.94"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2004","Household income and expenditure survey","1000 persons","1601.528"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2005","Household income and expenditure survey","1000 persons","1560.384"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2006","Household income and expenditure survey","1000 persons","1731.245"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2007","Household income and expenditure survey","1000 persons","1730.165"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2008","Household income and expenditure survey","1000 persons","1735.852"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2009","Household income and expenditure survey","1000 persons","1731.677"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2011","Household income and expenditure survey","1000 persons","1731.51"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2012","Household income and expenditure survey","1000 persons","1622.956"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2013","Household income and expenditure survey","1000 persons","1735.87"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2014","Household income and expenditure survey","1000 persons","1832.477"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2015","Household income and expenditure survey","1000 persons","1710.278"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","1702.666"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","1800.654"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","1896.737"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2019","Household income and expenditure survey","1000 persons","1909.048"
"Employment Indicators: Rural","Bolivia (Plurinational State of)","Employment by status of employment, total, rural areas","Total","2020","Household income and expenditure survey","1000 persons","1924.349"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","453.676"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2007","Labour force survey","1000 persons","504.677"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","545.764"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2009","Labour force survey","1000 persons","522.947"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","465.902"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","448.522"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","456.037"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","456.081"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","442.441"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","458.872"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","456.215"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","459.047"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","458.138"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","455.9"
"Employment Indicators: Rural","Bosnia and Herzegovina","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","636.969"
"Employment Indicators: Rural","Botswana","Employment by status of employment, total, rural areas","Total","1996","Labour force survey","1000 persons","153.431"
"Employment Indicators: Rural","Botswana","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","232.173"
"Employment Indicators: Rural","Botswana","Employment by status of employment, total, rural areas","Total","2009","Household survey","1000 persons","250.497"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2012","Household survey","1000 persons","11829.513"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2013","Household survey","1000 persons","12156.557"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2014","Household survey","1000 persons","11826.45"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2015","Household survey","1000 persons","11971.211"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2016","Household survey","1000 persons","11269.629"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2017","Household survey","1000 persons","10836.474"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2018","Household survey","1000 persons","10806.56"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2019","Household survey","1000 persons","10794.627"
"Employment Indicators: Rural","Brazil","Employment by status of employment, total, rural areas","Total","2020","Household survey","1000 persons","9968.629"
"Employment Indicators: Rural","Brunei Darussalam","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","41.334"
"Employment Indicators: Rural","Brunei Darussalam","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","44.523"
"Employment Indicators: Rural","Brunei Darussalam","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","33.29"
"Employment Indicators: Rural","Brunei Darussalam","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","49.374"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","1053.749"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2007","Labour force survey","1000 persons","1430.704"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","1488.763"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2009","Labour force survey","1000 persons","1438.597"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","1311.698"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","1253.915"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","782.414"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","754.617"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","746.531"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","762.901"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","761.699"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","774.139"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","756.21"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","783.351"
"Employment Indicators: Rural","Bulgaria","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","782.016"
"Employment Indicators: Rural","Burkina Faso","Employment by status of employment, total, rural areas","Total","2014","Household income and expenditure survey","1000 persons","4184.561"
"Employment Indicators: Rural","Burkina Faso","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","2862.188"
"Employment Indicators: Rural","Burundi","Employment by status of employment, total, rural areas","Total","2014","Household income and expenditure survey","1000 persons","3378.931"
"Employment Indicators: Rural","Cabo Verde","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","39.66"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2000","Labour force survey","1000 persons","4541.4"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2001","Labour force survey","1000 persons","5175.967"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2007","Household income and expenditure survey","1000 persons","5771.126"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2008","Household income and expenditure survey","1000 persons","5753.058"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2009","Household income and expenditure survey","1000 persons","6319.586"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2010","Household income and expenditure survey","1000 persons","6520.213"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2011","Household income and expenditure survey","1000 persons","6698.269"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","5413.77"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2013","Household income and expenditure survey","1000 persons","6553.102"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2014","Household income and expenditure survey","1000 persons","6562.422"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2015","Household income and expenditure survey","1000 persons","6647.24"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2016","Household income and expenditure survey","1000 persons","6841.463"
"Employment Indicators: Rural","Cambodia","Employment by status of employment, total, rural areas","Total","2017","Household income and expenditure survey","1000 persons","6908.465"
"Employment Indicators: Rural","Cameroon","Employment by status of employment, total, rural areas","Total","2007","Household survey","1000 persons","5656.097"
"Employment Indicators: Rural","Cameroon","Employment by status of employment, total, rural areas","Total","2014","Household survey","1000 persons","5128.175"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","1990","Household survey","1000 persons","722.083"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","1992","Household survey","1000 persons","730.406"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","1994","Household survey","1000 persons","712.887"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","1996","Household survey","1000 persons","717.54"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","1998","Household survey","1000 persons","681.53"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2000","Household survey","1000 persons","672.662"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2003","Household survey","1000 persons","704.723"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2006","Household survey","1000 persons","747.994"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2009","Household survey","1000 persons","775.497"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","893.153"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","945.883"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","982.78"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","1020.663"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","1044.002"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","1053.519"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","1082.197"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","1099.236"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","1112.312"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","1114.219"
"Employment Indicators: Rural","Chile","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","834.541"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2002","Labour force survey","1000 persons","3943.615"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2003","Labour force survey","1000 persons","4082.128"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2004","Labour force survey","1000 persons","4011.71"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2005","Labour force survey","1000 persons","4055.114"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","4044.791"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2007","Labour force survey","1000 persons","3782.483"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","3802.947"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2009","Labour force survey","1000 persons","4139.348"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","4272.684"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","4355.497"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","4507.736"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","4525.998"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","4546.223"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","4698.304"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","4775.845"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","4836.869"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","4867.592"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","4674.411"
"Employment Indicators: Rural","Colombia","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","4358.245"
"Employment Indicators: Rural","Comoros","Employment by status of employment, total, rural areas","Total","2004","Household survey","1000 persons","99.427"
"Employment Indicators: Rural","Comoros","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","100.462"
"Employment Indicators: Rural","Congo","Employment by status of employment, total, rural areas","Total","2005","Household income and expenditure survey","1000 persons","615.608"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2001","Household survey","1000 persons","575.465"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2002","Household survey","1000 persons","597.049"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2003","Household survey","1000 persons","612.499"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2004","Household survey","1000 persons","616.432"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2005","Household survey","1000 persons","673.219"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2006","Household survey","1000 persons","683.374"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2007","Household survey","1000 persons","720.545"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2008","Household survey","1000 persons","731.655"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2009","Household survey","1000 persons","739.274"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2010","Household survey","1000 persons","458.596"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","446.444"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","487.632"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","510.009"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","506.57"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","507.358"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","504.234"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","521.335"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","541.112"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","552.221"
"Employment Indicators: Rural","Costa Rica","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","492.289"
"Employment Indicators: Rural","Côte d'Ivoire","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","2196.799"
