Domain,Area,Indicator,Sex,Year,Source,Unit,Value
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Official estimates","%","3"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Official estimates","%","2.9"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Official estimates","%","2.9"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1982","Labour force survey","%","0.1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Labour force survey","%","0.3"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Labour force survey","%","0.3"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","0.4"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","0.4"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","0.4"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","0.4"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","0.7"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","0.8"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","0.8"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","0.8"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","0.7"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","0.8"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","1.4"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","1.5"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","1.3"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","1.1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","1.2"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","1.2"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","1.3"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","0.6"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","0.6"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","0.5"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","0.1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","0.1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","0.1"
"Employment Indicators: Agriculture","Argentina","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","0"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","36.5"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","30.200001"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Household income and expenditure survey","%","39.400002"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Household income and expenditure survey","%","38.6"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Household income and expenditure survey","%","37.3"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Household income and expenditure survey","%","36.3"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","34.8"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","35.3"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","33.6"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","31.3"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","25.8"
"Employment Indicators: Agriculture","Armenia","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","21.7"
"Employment Indicators: Agriculture","Aruba","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","0"
"Employment Indicators: Agriculture","Aruba","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Population census","%","0.5"
"Employment Indicators: Agriculture","Aruba","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Population census","%","0.6"
"Employment Indicators: Agriculture","Aruba","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","0.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1969","Labour force survey","%","8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1970","Labour force survey","%","8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1980","Labour force survey","%","6.5"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1981","Labour force survey","%","6.5"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1982","Labour force survey","%","6.4"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Labour force survey","%","6.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Labour force survey","%","6.2"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1985","Labour force survey","%","6.1"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Labour force survey","%","6.1"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1987","Labour force survey","%","5.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Labour force survey","%","5.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","5.5"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","5.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","5.4"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","5.1"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","5.1"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","4.4"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","3.9"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","3.7"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","3.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","3.4"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","3.3"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","3.2"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","2.6"
"Employment Indicators: Agriculture","Australia","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","2.8"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Labour force survey","%","9.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Labour force survey","%","9.4"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1985","Labour force survey","%","9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Labour force survey","%","8.6"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1987","Labour force survey","%","8.6"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Labour force survey","%","8.1"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","7.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Labour force survey","%","7.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","7.4"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","7.1"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Labour force survey","%","6.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Labour force survey","%","7.2"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Labour force survey","%","7.3"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Labour force survey","%","7.4"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Labour force survey","%","6.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Labour force survey","%","6.5"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","6.2"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Labour force survey","%","6"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Labour force survey","%","5.8"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Labour force survey","%","5.7"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","5.5"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Labour force survey","%","5.3"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","5.2"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","5.5"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Labour force survey","%","5.3"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","5.3"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","5.2"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","4.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","4.7"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","4.6"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","4.8"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","4.5"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","4.3"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","3.9"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","3.7"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","3.7"
"Employment Indicators: Agriculture","Austria","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","3.9"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1983","Official estimates","%","33.4"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1984","Official estimates","%","33.4"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1985","Official estimates","%","33.2"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Official estimates","%","33.1"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1987","Official estimates","%","33.7"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1988","Official estimates","%","32.7"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Official estimates","%","31.6"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Official estimates","%","30.9"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Official estimates","%","31.8"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Official estimates","%","34.7"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1993","Official estimates","%","32.4"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Official estimates","%","31.5"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Official estimates","%","30.8"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Official estimates","%","31.8"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Official estimates","%","29"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Official estimates","%","42.299999"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Official estimates","%","41.099998"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Official estimates","%","40"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Official estimates","%","40.199997"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","38.200001"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Official estimates","%","39.599998"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Official estimates","%","39.299999"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Labour force survey","%","39.599998"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","38.1"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","38.2"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","37.9"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","37.7"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","37.1"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","36.8"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","36.4"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","36.3"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","36.4"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","36.3"
"Employment Indicators: Agriculture","Azerbaijan","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","36"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1975","Labour force survey","%","8.1"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1977","Labour force survey","%","5.6"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1979","Labour force survey","%","1.9"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1986","Labour force survey","%","5"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1989","Labour force survey","%","4.4"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1991","Labour force survey","%","5.2"
"Employment Indicators: Agriculture","Bahamas","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","5.2"
