Country,Region
Peru,Latin America and Caribbean
Philippines,East Asia and Pacific
Poland,Europe and Central Asia
Portugal,Europe and Central Asia
Puerto Rico,Latin America and Caribbean
Qatar,Middle East and North Africa
Romania,Europe and Central Asia
Russia,Europe and Central Asia
Rwanda,Sub-Saharan Africa
Saint Kitts and Nevis,Latin America and Caribbean
Saint Lucia,Latin America and Caribbean
Saint Martin (French part),Latin America and Caribbean
Saint Vincent and the Grenadines,Latin America and Caribbean
Samoa,East Asia and Pacific
San Marino,Europe and Central Asia
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,Middle East and North Africa
Senegal,Sub-Saharan Africa
Serbia,Europe and Central Asia
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia and Pacific
Sint Maarten (Dutch part),Latin America and Caribbean
Slovakia,Europe and Central Asia
Slovenia,Europe and Central Asia
Solomon Islands,East Asia and Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Korea,East Asia and Pacific
South Sudan,Sub-Saharan Africa
Spain,Europe and Central Asia
Sri Lanka,South Asia
Sudan,Sub-Saharan Africa
Suriname,Latin America and Caribbean
Sweden,Europe and Central Asia
Switzerland,Europe and Central Asia
Syria,Middle East and North Africa
Tajikistan,Europe and Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia and Pacific
Timor,East Asia and Pacific
Togo,Sub-Saharan Africa
Tonga,East Asia and Pacific
Trinidad and Tobago,Latin America and Caribbean
Tunisia,Middle East and North Africa
Turkey,Europe and Central Asia
Turkmenistan,Europe and Central Asia
Turks and Caicos Islands,Latin America and Caribbean
Tuvalu,East Asia and Pacific
Uganda,Sub-Saharan Africa
Ukraine,Europe and Central Asia
United Arab Emirates,Middle East and North Africa
United Kingdom,Europe and Central Asia
United States,North America
United States Virgin Islands,Latin America and Caribbean
Uruguay,Latin America and Caribbean
Uzbekistan,Europe and Central Asia
Vanuatu,East Asia and Pacific
Venezuela,Latin America and Caribbean
Vietnam,East Asia and Pacific
Yemen,Middle East and North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
